input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12
-5.0,14.0,25.0,2.0,6.0,18.0,3.0,88.76083019620775,30.212348068419903,189.89332759688241,6.333840727604101,49.82302107533949
-14.0,5.0,5.0,31.0,21.0,4.0,15.0,175.0090158580059,32.18372524107493,139.53059036086523,90.32499387507593,76.60328736456825
-16.0,-12.0,10.0,6.0,5.0,11.0,6.0,93.6431379055408,76.41741502432097,33.78095524280673,67.3767761548195,52.08915883083076
4.0,7.0,22.0,27.0,22.0,15.0,13.0,84.85768290783673,43.86198734953106,156.3368028876026,146.88071086373515,38.71691013198158
-5.0,-5.0,31.0,33.0,24.0,9.0,4.0,96.68349210137292,118.39064243398782,42.548332728401775,161.19712117578138,168.2552453084499
-2.0,15.0,13.0,13.0,33.0,22.0,17.0,74.2401078171693,183.39583911673546,132.77999559596972,32.07509333450056,140.04781876398914
-14.0,4.0,29.0,32.0,15.0,6.0,28.0,31.035819834794466,124.20779375467575,186.97558969211278,33.99486378136039,192.28914858144432
12.0,-8.0,11.0,21.0,27.0,10.0,14.0,83.21783907698948,57.94933967018776,9.317176939882321,138.31684300701187,156.82762782982854
3.0,8.0,11.0,4.0,29.0,23.0,10.0,181.41273262029208,24.338534676698288,71.30240238334633,62.03341468705239,110.72420815620802
3.0,5.0,12.0,19.0,27.0,18.0,19.0,1.4515400218998664,189.1692526435086,32.697954192591226,62.56379481831791,179.64390577285099
-4.0,12.0,11.0,10.0,32.0,29.0,14.0,150.92194102642037,41.35972383491027,86.04608594675169,193.21760088708592,162.53475615169276
6.0,-12.0,29.0,25.0,20.0,5.0,24.0,147.73983838749209,73.77349819637654,92.65669849676279,112.4566004951921,126.56823812847423
-7.0,-12.0,26.0,33.0,18.0,30.0,25.0,190.95717603547465,191.30368947051002,177.71863104364152,198.3997150730314,58.90657551936322
-7.0,15.0,30.0,11.0,7.0,17.0,23.0,135.15202027034655,125.83876627370446,80.10424822426162,104.74357221848776,68.64023913800827
13.0,-9.0,10.0,3.0,12.0,20.0,8.0,76.9361152965288,198.10562249118146,104.01061589383063,1.027592273418132,122.37312881498039
14.0,-10.0,30.0,26.0,25.0,6.0,19.0,51.56166919354632,94.05766645150295,102.19902245944552,83.03808618710873,100.96700766774308
-10.0,0.0,14.0,19.0,16.0,27.0,11.0,133.86332306807032,33.370097379056254,59.676116535446134,35.15717203933324,75.17783031552618
-13.0,-5.0,30.0,20.0,21.0,10.0,28.0,50.092069452478036,44.713697806075395,19.516548174671833,78.40175024215597,54.34761616273984
-6.0,-5.0,6.0,28.0,26.0,16.0,8.0,198.36666045105886,37.48776788357839,74.95688241416039,135.20066907410055,49.62773833813041
14.0,7.0,12.0,17.0,17.0,13.0,26.0,25.7298535939092,95.06715334499192,83.15909775061938,99.14706022829449,57.77895685867247
13.0,-15.0,32.0,10.0,2.0,22.0,16.0,142.05287978355113,5.787631045860042,197.90006041215963,120.21903057823839,175.14240485329765
-14.0,0.0,5.0,11.0,4.0,2.0,11.0,68.65997496257074,143.31673186608757,134.19185512622147,188.03728419707645,45.57281603430346
-7.0,-4.0,21.0,15.0,7.0,16.0,33.0,41.698183683029136,130.94756225893832,90.97824445107699,117.93942072796956,188.95474908695954
9.0,0.0,6.0,28.0,27.0,6.0,3.0,183.40215952221735,123.8629327482167,33.69675021768563,94.6817773902938,129.31609362648416
-16.0,13.0,33.0,4.0,32.0,24.0,8.0,179.33084202900568,67.81930358045578,159.1555580412983,87.99403585553152,60.12476296768268
-5.0,-15.0,11.0,15.0,32.0,12.0,31.0,146.81597268956267,122.4448367367662,146.11086704819857,92.42040907249402,86.87365838885657
16.0,-10.0,20.0,20.0,2.0,2.0,18.0,1.6476242983268996,111.81308935571413,60.035934475216955,137.75318642930975,154.5157370869662
12.0,10.0,19.0,7.0,3.0,3.0,8.0,35.671072529824464,111.85960586472687,177.23591124357623,191.2549945499841,148.82520573787866
-6.0,8.0,29.0,2.0,9.0,23.0,9.0,93.16101441970281,132.57084915738088,127.02286551893427,162.3317464959286,76.31756519231536
10.0,10.0,6.0,31.0,19.0,12.0,13.0,95.9185419147953,1.0260600899079764,71.88460568302901,150.5881482951303,173.75321488635683
-8.0,-5.0,12.0,3.0,20.0,28.0,30.0,1.2964592018919197,151.7799956709628,12.782003283988242,28.755822481308012,77.8562562313994
15.0,4.0,4.0,15.0,7.0,29.0,10.0,20.981375518315247,22.898730146527214,41.571509639497364,22.966838751838846,0.3479209848037401
-3.0,-9.0,9.0,21.0,29.0,27.0,2.0,199.97956420511724,191.55715316931355,81.61275667660976,27.7432347375997,121.82294002215386
-6.0,-9.0,26.0,33.0,17.0,25.0,13.0,155.28150200347423,31.020504550032335,8.613388836641068,4.590402423247353,15.724660324198304
-8.0,8.0,33.0,6.0,31.0,12.0,15.0,6.88970069325805,5.331187300754503,119.1963255416318,48.77713665054415,109.40421157300457
-16.0,11.0,14.0,31.0,3.0,6.0,23.0,13.574832975406848,180.05184773609326,41.693536337370276,11.623634529443505,89.15477464243651
14.0,-13.0,20.0,28.0,33.0,8.0,6.0,145.52638740800222,60.24902417611004,89.38660852852165,14.397846944071425,99.60243440702727
-7.0,13.0,15.0,4.0,8.0,20.0,12.0,80.2524661958806,117.97083005408871,83.86472895570232,150.86120429259725,174.73702145501662
-8.0,-15.0,16.0,3.0,29.0,8.0,24.0,156.45573488424034,138.953242241553,147.2948484673207,30.594149921819835,45.35211692391059
-7.0,-6.0,8.0,7.0,33.0,33.0,3.0,128.9563889953405,172.015691361236,185.77703804165813,67.249550253186,108.77981943467476
8.0,0.0,2.0,13.0,15.0,6.0,7.0,67.71159894089,181.95219801206466,184.48643325026157,94.59411581475752,135.8172943567893
-7.0,11.0,25.0,31.0,25.0,12.0,3.0,109.44134834584243,122.49766475255788,107.20612180276798,187.79650429996676,7.935869879908619
-11.0,6.0,14.0,11.0,25.0,5.0,25.0,145.764721001597,37.08607563616375,12.029437696304335,108.9533329631644,119.97152213387037
6.0,3.0,17.0,23.0,15.0,20.0,25.0,167.03464442101242,196.18469607279582,162.98588211555455,6.74669616378647,69.44534624380812
10.0,7.0,20.0,22.0,17.0,9.0,29.0,0.7335070160982671,196.13075573260653,140.3279997203005,132.21381931372548,158.7912828580337
5.0,11.0,12.0,24.0,4.0,9.0,9.0,94.89368050174987,23.617717323236143,24.75671150813379,197.9430091296359,143.65477597229946
-12.0,6.0,28.0,32.0,26.0,17.0,31.0,111.2311591477852,172.73622558815552,194.74117099945397,194.82633902671728,105.65864754188756
-9.0,-6.0,25.0,28.0,6.0,21.0,15.0,107.14391385488966,133.0041992401239,20.53186672085088,114.12494277753737,134.81231072329888
4.0,1.0,14.0,23.0,16.0,13.0,11.0,9.567649631059783,169.76644174869796,163.10127889965804,8.019383984293228,192.23463450154438
15.0,9.0,28.0,27.0,17.0,8.0,2.0,15.851834527018415,111.35912472262035,91.08036581341119,196.83164956079003,187.75630083308778
10.0,13.0,12.0,16.0,32.0,20.0,24.0,132.38630037087623,28.604771042343536,38.493200811113695,166.90269276076674,62.538828142136204
9.0,16.0,12.0,8.0,4.0,31.0,22.0,14.504538258400812,26.26501212560326,18.96179086622103,189.5845443996626,195.9866783828859
-16.0,3.0,32.0,4.0,2.0,24.0,7.0,151.88075776459146,41.322277295567055,112.71380868004772,147.67938310850028,10.98485474456865
11.0,5.0,29.0,9.0,19.0,28.0,29.0,168.38375116130874,83.23496271960747,116.54760405962787,81.69243359212635,121.03203213771563
11.0,-15.0,14.0,25.0,18.0,5.0,14.0,113.49180928036431,60.030083173481486,48.15174271331672,176.35487598597084,71.2236728816076
-2.0,-12.0,27.0,14.0,33.0,14.0,29.0,42.925422304730645,170.98483772612164,67.47848563285575,13.936204320898216,10.272072405311295
9.0,5.0,2.0,7.0,28.0,16.0,33.0,56.83539978144929,22.878270460795203,135.87030795122615,145.818075045626,95.33116955691732
-8.0,2.0,8.0,17.0,25.0,18.0,19.0,38.19980008093427,176.61081112747567,162.7631821853241,38.596482606242134,57.054085027002955
12.0,8.0,21.0,33.0,18.0,23.0,6.0,62.422102315958995,32.906466365744414,4.997411047534861,20.044213564723968,26.691377765474144
-14.0,2.0,22.0,5.0,26.0,7.0,30.0,137.30586468547094,161.56779323335778,127.68559180056836,175.8920020654247,10.83887469103515
-7.0,-4.0,26.0,18.0,10.0,20.0,2.0,77.304035278048,37.9193213646426,62.9023192293765,189.7342455369319,85.19509727747574
5.0,11.0,25.0,16.0,6.0,17.0,4.0,129.06191649410923,41.70698945503772,22.73041407007803,141.2021871706069,14.362512209615353
-2.0,15.0,4.0,21.0,15.0,4.0,5.0,127.41212327793254,133.4641560400604,193.92890818424996,166.7501025783228,86.33941950703962
13.0,-12.0,22.0,16.0,2.0,3.0,6.0,51.45510897788339,73.91180244277606,84.92235250796169,37.08698650539966,173.83379104919007
-6.0,-7.0,28.0,13.0,31.0,29.0,17.0,0.47004921228823715,76.35187954219442,81.04913869286659,192.8854720652731,35.96096543398646
13.0,-1.0,25.0,14.0,11.0,21.0,15.0,86.81942822602997,164.68557735544147,78.90431025706425,23.054551981560635,163.51558604030507
-15.0,8.0,31.0,30.0,10.0,6.0,21.0,32.24329383785989,120.02583418898587,125.96377249262778,188.55305639465197,38.03544996313191
16.0,-12.0,21.0,8.0,19.0,33.0,4.0,193.1866805330191,19.4047600479442,69.5311985587425,100.11456160701447,150.42735785716744
2.0,14.0,31.0,15.0,4.0,19.0,19.0,147.9004409299252,74.43107603438668,63.82964376408129,175.60772694296594,179.04365871401262
4.0,-12.0,31.0,10.0,31.0,9.0,15.0,138.09580043825324,196.14371655257438,59.582279725677445,60.498424222650506,20.822858687328207
0.0,4.0,24.0,31.0,33.0,31.0,12.0,50.62217724514528,164.2445604535364,122.29195312035046,130.83098216110778,183.32274375182038
3.0,1.0,29.0,31.0,31.0,29.0,29.0,147.59345673293987,110.98068404642267,106.40013312284471,96.9079091955942,8.123638724149762
14.0,1.0,16.0,10.0,28.0,30.0,23.0,180.43833301044785,169.5388311147631,43.91066003937492,38.220285696344035,118.93976099789909
15.0,1.0,17.0,4.0,25.0,21.0,31.0,51.44325880805811,103.34635666936158,130.60592166317423,0.41888507783445217,70.67578624804831
-12.0,-9.0,27.0,33.0,28.0,2.0,29.0,114.04932950962147,124.9750140463493,86.85705094140974,90.93962606748696,199.53964730491907
14.0,6.0,13.0,28.0,15.0,30.0,6.0,41.10353300599121,149.28223577933431,90.43140799698519,156.6970424871301,0.9176608295835109
-3.0,-12.0,16.0,13.0,14.0,28.0,30.0,38.71594237537934,45.35479268424829,4.460813268720387,57.735728065804025,2.272935436445822
6.0,3.0,12.0,10.0,16.0,10.0,14.0,83.68420925001135,10.179811545694427,92.78968316033689,50.86747281838364,106.43063544691931
-6.0,-12.0,11.0,5.0,22.0,11.0,33.0,23.67644665484736,78.77739983005247,195.92552372699953,111.87554786243076,155.26259256381744
9.0,5.0,10.0,5.0,6.0,11.0,5.0,15.439414046109201,131.87212742938797,74.997353289602,53.230962411591065,0.8172561232039799
-16.0,16.0,10.0,19.0,4.0,31.0,30.0,88.67032224005342,175.7365332023143,116.97729471536942,28.960371038407274,85.0683187364927
3.0,-14.0,11.0,3.0,9.0,6.0,14.0,199.8917326049272,72.64925080154501,30.941748679894165,160.7636724810049,193.6053500552173
-11.0,15.0,7.0,2.0,5.0,21.0,4.0,144.3939617600338,180.87531715459775,184.01857444476207,138.67471101415242,92.91739618714368
11.0,-1.0,25.0,33.0,14.0,31.0,21.0,167.64243863170395,83.64620308882003,2.6578716202885655,5.146677798413313,113.34737784563626
-3.0,12.0,18.0,32.0,25.0,22.0,19.0,12.049144914092924,23.921197154050432,17.986093461605957,73.88768265575625,38.161468962138144
-10.0,7.0,4.0,17.0,8.0,16.0,16.0,22.842676756871704,79.0616259506501,61.45620803446179,112.90423451720761,158.69374050458796
-11.0,-8.0,9.0,23.0,3.0,3.0,17.0,38.686861018095506,171.05502167071364,6.869397713489178,43.846277108829,192.02854096444315
9.0,4.0,24.0,33.0,16.0,11.0,31.0,185.53135644905754,110.89277604051746,118.80197358778486,171.00986659078745,177.68927022162316
-14.0,7.0,30.0,26.0,14.0,28.0,26.0,171.65767029427604,34.357351164806495,187.9144121310808,74.18014431559945,74.34265729877687
9.0,10.0,27.0,25.0,2.0,7.0,21.0,3.979232416277978,146.2785156492138,153.77017273568356,177.21795741966017,20.19167574083074
0.0,-16.0,8.0,12.0,23.0,12.0,2.0,87.9204558772963,195.1631287467963,94.62383666962333,85.4486904969616,83.85351019911728
7.0,-13.0,30.0,12.0,25.0,30.0,14.0,79.27257821609295,125.26884788299131,16.99390561070484,14.403333522161056,194.98183297505312
3.0,13.0,28.0,10.0,3.0,23.0,9.0,191.26606827545905,148.73903930512944,108.23455426146226,86.4270386051401,138.57530207472422
-14.0,16.0,16.0,7.0,5.0,9.0,27.0,126.66780904415857,3.8681966921493727,57.66088880382567,123.74243601262849,129.45188838853446
-5.0,-4.0,25.0,25.0,25.0,14.0,11.0,50.763443572539124,133.56811702274717,155.76654363048698,169.2356001079718,178.48756278126038
-8.0,-4.0,2.0,20.0,18.0,20.0,29.0,163.7712775655046,13.06814796759934,109.60494077080858,49.60395716279229,178.41424811879648
-14.0,14.0,5.0,24.0,13.0,7.0,29.0,23.523617897986405,17.747951690545637,42.228568289716705,90.86190819702469,51.13103160430781
2.0,-15.0,28.0,33.0,17.0,18.0,19.0,46.49618564356701,2.5293153128312262,188.06839432435603,198.78013251307195,155.59714520302933
-10.0,16.0,30.0,31.0,30.0,24.0,2.0,170.74365724405365,139.63290224327082,79.1003797780402,72.5136927108937,42.124398762693424
13.0,-9.0,11.0,20.0,2.0,24.0,15.0,94.30696090913774,99.55632602968151,9.102570006850774,194.1280090326961,100.98495358700164
-6.0,-11.0,15.0,23.0,32.0,10.0,22.0,68.48370973559715,130.64129687899475,189.53758906383396,116.70003171337184,189.14914413526554
5.0,-13.0,6.0,31.0,3.0,23.0,21.0,39.47100320029953,5.11332716343893,158.69935030105526,16.37989722217639,23.10805817457706
-12.0,-10.0,17.0,21.0,10.0,10.0,7.0,53.571853647659815,24.839572290103206,111.7216552881231,73.55162853334838,97.9043756127701
-9.0,-3.0,18.0,28.0,15.0,14.0,24.0,130.0534145253152,44.52894008694612,79.07121608533525,193.07196883583256,154.32457742691128
15.0,2.0,27.0,8.0,21.0,24.0,33.0,173.13415367824572,0.1905154709449075,56.68405323385479,171.61083801430078,192.85935034622997
16.0,-16.0,16.0,2.0,17.0,17.0,4.0,157.81557892191088,23.64722678261515,28.68865124541844,53.348298327744615,26.858942914709626
-12.0,15.0,33.0,24.0,30.0,29.0,5.0,0.19546962572611903,74.64260940174708,34.336894432386586,149.82609717800256,135.9362488872523
-6.0,11.0,13.0,28.0,28.0,26.0,4.0,40.16170366030547,115.9663086775928,168.5648210103013,174.72086725544017,7.374765111801462
6.0,2.0,28.0,11.0,12.0,9.0,22.0,91.54761908542366,116.22657091169486,7.3906890866549,163.57363328562428,21.352963598718965
-6.0,-11.0,18.0,25.0,11.0,23.0,15.0,116.14054114357776,59.93593679198683,112.13206879033682,198.51674050406154,108.54870127803964
12.0,-16.0,14.0,10.0,18.0,14.0,14.0,140.63926366306194,24.089020061370125,81.81435179573204,68.42058269446302,52.62854053307156
-1.0,-16.0,15.0,20.0,30.0,26.0,31.0,62.42075003075826,1.9543672131291823,195.69723409470808,75.8065180636814,184.3938372905166
15.0,6.0,14.0,12.0,27.0,7.0,25.0,139.4611944511322,63.827492649089024,41.23089240694113,6.617030518804934,78.37626263225333
-15.0,6.0,4.0,5.0,3.0,5.0,21.0,34.787254923774505,104.8182282053743,158.82751656121647,64.41697666338145,68.51895485280043
-16.0,-10.0,31.0,12.0,6.0,12.0,31.0,83.00716867504772,48.38905302876056,154.0328336291971,32.48838061827064,152.54082438342712
2.0,8.0,10.0,28.0,25.0,10.0,8.0,45.63732238632063,0.2670144136221131,174.81679127215997,178.28019710498356,36.3233284727871
-3.0,4.0,19.0,8.0,11.0,22.0,22.0,28.71596395534366,141.83979349690594,156.8379268151463,45.51105195435294,13.079457639722293
-8.0,2.0,5.0,22.0,23.0,20.0,3.0,14.055068333380149,19.598740001598735,167.9070577869621,153.7401642883706,133.2641055714798
15.0,1.0,14.0,6.0,29.0,14.0,2.0,196.309342207444,101.26993287278285,177.03114892764373,108.90558796639075,162.5921889292924
12.0,10.0,16.0,3.0,11.0,10.0,4.0,199.33698824531356,40.106924153145386,123.9058874322122,152.30100984388238,150.28905199870235
6.0,11.0,7.0,23.0,25.0,10.0,5.0,178.34027603494619,33.7001759931252,6.331987847754061,173.25498590209415,31.09426857796136
-6.0,5.0,3.0,7.0,24.0,28.0,17.0,150.13913797809744,167.64630506019625,61.25603617906139,25.71869003584597,16.55731752706111
16.0,-1.0,27.0,21.0,10.0,17.0,17.0,135.92437224278618,154.2551249840992,177.14763484713484,94.34254078092776,128.36771998019353
-10.0,-13.0,33.0,21.0,25.0,25.0,8.0,193.50978012297267,43.120475479440245,59.85527575567051,49.53002283500798,125.41956643656229
-9.0,1.0,27.0,11.0,16.0,32.0,15.0,187.75415528725404,39.76002362798204,18.321830615179778,123.39661070127733,145.5224158955072
14.0,-8.0,12.0,12.0,7.0,31.0,8.0,23.457348951994362,29.94145041129679,154.84189770450962,116.1499564067935,88.658790484894
-7.0,4.0,24.0,3.0,10.0,28.0,11.0,75.12756767497899,43.21659862242782,192.38924342567964,162.33973626048692,43.56061127717077
13.0,-7.0,27.0,18.0,10.0,26.0,23.0,59.98405076018709,38.65797800071908,143.88433788379447,195.00867247297563,121.28539237875142
-15.0,7.0,20.0,21.0,21.0,22.0,25.0,193.77473774821394,176.72748426870086,19.131161206331715,10.334687152005007,124.7650782792005
11.0,14.0,16.0,13.0,13.0,23.0,24.0,47.54592205308694,55.235237253787275,132.2697258786282,86.08355706186394,189.77323150029918
-15.0,8.0,16.0,15.0,33.0,30.0,2.0,91.10794273050342,125.74206754083588,164.28746451562682,34.6741015810333,124.47077613306246
9.0,-9.0,23.0,3.0,12.0,20.0,17.0,86.78528024782763,144.3974054097975,34.15044261163076,161.45202699019632,20.61581880262637
9.0,-6.0,18.0,24.0,32.0,21.0,22.0,182.32526412515293,1.0360528876540709,120.10337148599986,197.52488923042014,25.561770533620965
15.0,11.0,11.0,30.0,21.0,26.0,25.0,27.87321811010095,39.14454330515602,6.8110555130884265,92.08389064131453,158.35247839747993
-2.0,-9.0,32.0,27.0,20.0,18.0,25.0,150.59448450281948,183.85216608178374,183.9668182480564,82.73312633756449,43.375401745840556
-5.0,14.0,26.0,19.0,3.0,15.0,11.0,53.8700778371141,122.198695924355,130.36769699225482,131.37503853819015,92.32419474094328
0.0,-9.0,2.0,9.0,26.0,15.0,33.0,3.840686994852427,156.92342555665508,114.56591651082869,131.86742286592784,162.04625539370798
16.0,-13.0,32.0,2.0,21.0,18.0,14.0,95.14441654155948,134.58294409863564,154.8459514641327,52.1268571954933,139.7375622493012
-7.0,16.0,31.0,19.0,32.0,21.0,17.0,128.11592551533073,127.35147393448575,176.29043456309893,95.17036888967085,196.47543757760343
-7.0,16.0,2.0,8.0,25.0,28.0,27.0,169.8591516683283,166.912750234322,150.4640216480581,76.71050160739925,157.86897656633428
13.0,-3.0,2.0,21.0,4.0,18.0,4.0,131.80631441581252,180.30460143768548,106.82137646005003,87.30697327486357,77.58103827116358
-7.0,-9.0,12.0,31.0,4.0,22.0,16.0,178.56277203613357,193.35244363304898,174.46362726378194,88.78752216748187,141.36676279272118
4.0,-10.0,17.0,16.0,26.0,4.0,27.0,9.718874424175805,44.661592368663825,15.171404478805407,97.95550794038735,133.16565459560238
4.0,-11.0,8.0,23.0,22.0,8.0,20.0,22.475611590822098,91.45814178470731,119.20596060840631,99.47821459491233,36.42071352862013
10.0,1.0,6.0,6.0,20.0,21.0,2.0,124.58102214795106,22.405660168978315,193.06107627071952,180.3797894458399,93.48120612963045
9.0,3.0,10.0,17.0,5.0,18.0,32.0,187.2258915891967,145.46991618593785,91.88226774960656,47.08350049190118,140.72410022972522
